text,label,category,title,url,source
"A quote card circulating online is claiming that a certain judge from the International Criminal Court has “authorized” the return of former president Rodrigo Duterte to the Philippines in 2026. This is fake. No records of such a statement can be found on the official website or social media pages of the ICC. VERA Files traced the earliest copy of the bogus graphic to a Facebook post on Jan. 1. The fictitious statement attributed to a certain “Judge Whitney Solomy Balungi Tyson Bossa” reads: “I now authorize the International Trial Court to facilitate Rodrigo Roa Duterte’s return to the Philippines in 2026 as a statement of support for the calls embodied in the signature campaign of the people under the banner “Tay, kami naman.” I hereby acknowledge the signatures and collective appeal of the Filipino people. As we enter the year 2026, amnesty is hereby granted to Rodrigo Roa Duterte and his cohorts. I also wish to extend my warmest greetings for a very happy New Year to all.” This is not true. The former chief executive will remain in custody following the ICC Appeals Chamber’s rejection in November 2025 of Duterte’s appeal to overturn the earlier ruling of the international court’s Pre-Trial Chamber I that denied his request for interim release. Likewise, the ICC official website does not list Bossa among the judges in the ICC Pre-Trial Chamber I, which is handling Duterte’s case over crimes against humanity in the course of implementing his drug war campaign. The image of an ICC judge featured in the fabricated graphic card is likely a deepfake, according to results from artificial intelligence detection tools Hive Moderation and SightEngine. A reverse image search using PimEyes, an advanced facial recognition tool, along with a cursory search on Google, reveals that the deepfake image in the fake quote card used photos of Ugandan ICC Judge Solomy Balungi Bossa and a well-known comedian during the 90s, Whitney Tyson. The quote card emerged over a month after the ICC denied a request for release from Duterte’s defense team. Published by FB user Janetha Vlog (created on Jan. 3, 2023), the post with an untrue claim has so far garnered 6,900 reactions, 912 comments and 400 shares. Maria Fema Duterte, a distant relative of the former president, reposted the fake quote card on Threads, which received 1,422 interactions. TikTok user farmconsultant later shared a screenshot of Maria Fema Duterte’s post bearing the graphic, which is no longer visible on her FB account as of writing.",Fake,fake,"FACT CHECK: Quote card on Duterte’s return to PH in 2026 FAKEA quote card circulating online is claiming that a certain judge from the International Criminal Court has ""authorized"" the return of former president Rodrigo Duterte to the Philippines in 2026. This is fake.ByVERA Files|Jan 6, 2026|2-minute readKEEP READING",https://verafiles.org/articles/fact-check-quote-card-on-dutertes-return-to-ph-in-2026-fake,Vera Files
"Ngayong 2025, binantayan ng VERA Files ang mga disimpormasyong ginawa gamit ang artificial intelligence o AI. Kumpara sa nakaraang taon, dumoble at nagbago ang kalidad ng mga AI-generated at manipulated content kasabay ng pagkalat ng mga libreng teknolohiya para rito. Rumagasa ang iba’t ibang AI video at larawan tungkol sa disaster, politika, health, scams at giyera na naglayong linlangin ang mga Pinoy netizen. Sa special episode ng What The F?! Podcast, tatalakayin ng VERA Files kasama si Engr. Ben Hur Pintor – Digital security advocate at Co-founder ng Smart CT, kung paano nakakaapekto ang paglaganap ng AI sa matagal ng problema ng disimpormasyon, anu-ano ang pwedeng gawin para mapalakas ang digital literacy sa bansa at mga maaring asahan sa AI at disinformation sa mga susunod pang taon.",Fake,fake,"All Eyes on AI – Usapang Deepfakes, Disinformation at Digital LiteracySa special episode ng What The F?! Podcast, tatalakayin ng VERA Files kasama si Engr. Ben Hur Pintor – Digital security advocate at Co-founder ng Smart CT, kung paano nakakaapekto ang paglaganap ng AI sa matagal ng problema ng disimpormasyon at anu-ano ang pwedeng gawin para mapalakas ang digital literacy sa bansa.ByVERA Files|Dec 19, 2025|1-minute readKEEP READING",https://verafiles.org/articles/yearender-all-eyes-on-ai-usapang-deepfakes-disinformation-at-digital-literacy,Vera Files
"VERA Files Fact Check has two fact-checking initiatives that follow the same ratings system. One of these programs is concentrated on fact-checking falsehoods, flip-flops, and misleading statements of public officials and figures. The other is the third-party fact-checking partnership with Facebook, which is centered on online mis- and disinformation. These ratings are: Read more about VERA Files Fact Check here.",Fake,fake,HOW WE RATE OUR FACT CHECKS,https://verafiles.org/articles/how-does-vera-files-rate-its-fact-checks,Vera Files
"Sen. Christopher Lawrence “Bong” Go’s claim that the number of drug lords in the Philippines went down under the leadership of President Rodrigo Duterte has no basis. STATEMENT In a Nov. 6 statement, Go “welcomed” Vice President Leni Robredo’s decision to accept Duterte’s offer to “lead the government’s anti-illegal drug efforts.” He then said: “Ilang Presidente na ba ang dumaan? Nabawasan ba ang drug lord? Nabawasan ba ang droga? Lalong dumami. Ngayon lang po ito nabawasan nang panahon ni Pangulong Duterte (How many presidents have we had? Did the number of drug lords decrease? Did drug [use] decrease? They have further increased [in the past administrations]. It is only now during President Duterte’s term that they have gone down).” Source: Senate of the Philippines, Bong Go welcomes Robredo’s acceptance of drug czar post, Nov. 6, 2019 FACT It is not clear where Go based his claim; neither the Dangerous Drugs Board (DDB) nor the Philippine Drug Enforcement Agency (PDEA) keeps an official list of “drug lords” in the country. The DDB — the country’s policy-making and strategy formulating body on drug prevention and control — in its latest survey on the nature and extent of drug use in the Philippines, released in 2016, mentioned the term “drug lord” only once: when it analyzed the efficiency of drug seizure protocols. It neither cited nor included a database of drug lords operating in the country. Such category is also “not included” in the board’s ongoing census on the “real nature and extent of the country’s illegal drug problem,” which is “expected” to be released in the “first quarter of 2020,” DDB media affairs and public relations head Ella Marie Dumaculangan said in a Nov. 12 text message to VERA Files. The DDB is mandated to “conduct a nationwide survey to determine drug abuse prevalence” in the country every three years. PDEA — the country’s lead anti-drug law enforcement agency — also does not have an official list of drug lords, the agency’s spokesperson Derrick Carreon told VERA Files in a phone interview on Nov. 12. However, he said they have “data on arrests of high-value targets and [those who] may be considered as drug lords.” According to Carreon, PDEA defines “high-value targets” as “those involved in the illegal drug activity, occupying such positions in the society that have a certain sphere of influence.” He said high-value targets include: “Drug lords,” on the other hand, are those who have a “sphere of influence over a certain locality” and have “control [over] the supply and the trade of [illegal] drugs,” Carreon said. They are automatically classified as “high-value” targets and can operate in “varying degrees” — from “local” to “transnational,” he added. Sources Senate of the Philippines, Bong Go welcomes Robredo’s acceptance of drug czar post, Nov. 6, 2019 VP Leni Robredo official Facebook page, Vice President Leni Robredo addresses the media, Nov. 6, 2019 Dangerous Drugs Board, 2015 Nationwide Survey on the Nature and Extent of Drug Abuse in the Philippines Dangerous Drugs Board, Vision, Mission, Mandate Dangerous Drugs Board, DDB to provide evidence-based assessment, March 30, 2019 Official Gazette, Executive Order No. 15, March 6, 2017 Presidential Communications Operations Office, President Rodrigo Duterte, Speech during the thanksgiving dinner in Davao City, May 24, 2019 (Guided by the code of principles of the International Fact-Checking Network at Poynter, VERA Files tracks the false claims, flip-flops, misleading statements of public officials and figures, and debunks them with factual evidence. Find out more about this initiative and our methodology.)",True,true,VERA FILES FACT CHECK: Bong Go’s claim that Duterte reduced number of drug lords in PH baseless,https://verafiles.org/articles/vera-files-fact-check-bong-gos-claim-duterte-reduced-number,Vera Files
"May pinakakalat na quote card na sinabi raw ng DTI secretary Cristina Roque na puwede namang magsardinas kaysa mag-ham sa noche buena. Peke ito. Walang patunay ang mga nag-post ng quote card. Hindi ito sinabi ng sekretarya o ng kahit sino sa Department of Trade and Industry. Hindi rin ito ibinalita ng kahit anong mapagkakatiwalaang media. Ini-upload noong Dec. 8 ang picture ng DTI secretary na may hawak na de-latang sardinas at may nakasulat na: “KUNG PWEDE NAMAN KAYO MAG SARDINAS SA NOCHE BUENA BAKIT PA KAYO MAG HA-HAM? KALABISAN NA YUN! – DTI SEC CRISTINA ROQUE” Lima pang Facebook post ang may kagayang quote card, at isa lang ang nagsabing katuwaan lang ito. Kaya lalong napaniwala ang maraming netizen na sinabi talaga ito ng DTI secretary, at hinamon siyang maghanda ng sardinas sa noche buena. Walang post tungkol sa “sardinas sa noche buena” ang official Facebook page ng DTI at ni Christina Aldeguer-Roque. Wala ring sardinas sa noche buena guide ng DTI na paulit-ulit binabanggit ng sekretarya mula nang batikusin ang sinabi niyang kasya ang 500 pesos pang-noche buena. Ilan sa mga nasa noche buena guide ang ham, fruit cocktail, all-purpose cream, nata de coco, kaong, keso de bola, cheese, mayonnaise, sandwich spread, macaroni, spaghetti at tomato sauce. Ang mga picture ng DTI secretary na pinagmumukhang inirerekomenda niyang magsardinas na lang sa noche buena ay galing sa Facebook page na Proud Bisaya Bai noong Nov. 13, dalawang linggo bago niya sinabing kasya ang 500 pesos pang-noche buena ng pamilyang may tatlong miyembro. Sa mga picture ay ipinakikita ang DTI secretary na sinisiguro ang tamang pagpepresyo ng isang supermarket sa Cebu City noong Nov. 13, pagtapos ipagbawal sa buong Pilipinas ang pagtaas ng presyo ng mahahalagang produkto sa loob ng dalawang buwan dahil sa sunod-sunod na mga kalamidad sa Visayas noong November. Ang iba pang picture ng DTI secretary sa harap ng estante ng mga de-lata ay ini-upload naman ng Philippine Information Agency – Region 7 noong Nov. 14. Pinasinungalingan din ng VERA Files ang naunang quote card ni Roque kung saan binawi niya at humingi ng paumanhin sa sinabi niyang kasya ang 500 pesos pang-noche buena. Ang quote card tungkol sa sardinas na ini-upload ni Facebook user Bert Vibes (ginawa noong Nov. 2, 2018) at page na Philippine Savers & Investors Guide (Feb. 5, 2019) at Pinoy Celebrity News (June 21, 2017) ay may pinagsamang lagpas 22,780 reactions, 9,080 comments at 3,620 shares.",Fake,fake,"3FACT CHECK: PEKE ang post na sinabi raw ng DTI secretary na magsardinas sa noche buenaBy VERA Files | Dec 13, 2025",https://verafiles.org/articles/fact-check-peke-ang-post-na-sinabi-raw-ng-dti-secretary-na-magsardinas-sa-noche-buena,Vera Files
"May ipinakakalat na Facebook video na ipinagmumukhang sinalubong ng overseas Filipino workers ang paglaya raw ni dating pangulong Rodrigo Duterte sa International Criminal Court. Hindi ito totoo. Ang video ay kinuhanan noong pro-Duterte prayer rally sa Italy noong March 16, limang araw pagtapos arestuhin si Duterte sa Manila papuntang Netherlands, kung saan nananatili siyang nakadetena pagtapos tanggihan ng ICC noong Nov. 28 na palayain siya pansamantala. Ini-upload noong Dec. 10 ang video na may nakasulat na: “Magagalit na naman ang mga loyalist ngayon.” At may reaction ng lalaking nagsasabing: “Good news, mga kababayan! Ngayong araw ang release ni former president Rodrigo Roa Duterte. Kaya maraming tao dito sa ICC dahil release ni tatay Digong para makauwi na siya sa Davao. At siguradong magagalit na naman ang mga loyalist ngayon. At kung ikaw ay solid Duterte [supporter], paki-share na lang [at] comment. Salamat!” Ang video ay galing sa TikTok noong March 17 at may nakasulat na: “Filipinos in Milan, Italy.” Ang iba pang video ng parehong prayer rally sa Italy ay ini-upload sa YouTube at Facebook. Kinumpirma naman ng mga balita na may mga OFW sa Italy na nagprotesta noong March 16 dahil sa pag-aresto kay Duterte, na nananatiling nakadetena sa Netherlands habang hinihintay ang paglilitis sa mga kaso ng libo-libong pinatay sa drug war noong pangulo siya. Ang video ay ipinakalat pagtapos tanggihan ng ICC ang pakiusap ng mga abogado ni Duterte na palayain siya pansamantala. Ang video ay ini-upload ni Aguila ng Maynila Vlogger at may lagpas 1,000,000 views, 35,700 reactions, 10,000 shares at 6,500 comments.",Fake,fake,"1FACT CHECK: Video ng OFW rally, PINAGMUKHANG nakalaya na si DuterteBy VERA Files | Dec 19, 2025",https://verafiles.org/articles/fact-check-video-ng-ofw-rally-pinagmukhang-nakalaya-na-si-duterte,Vera Files
"May article at video sa iba’t ibang social media platform na ipinakakalat na kinasuhan daw ni Pangulong Bongbong Marcos ang kapatid niyang si Senadora Imee Marcos at hinatulan daw ng habambuhay na pagkakulong. Hindi ito totoo. Noong Nov. 18 ipinakalat ang article at video sa YouTube, Facebook at isang website. Isa sa mga post ay may pamagat na: “HABANG BUHAY NA KULONG! GRABE SEN. IMEE MARCOS! KINASUHAN NI PBBM! WALANG PIYANSA! KAKAPASOK LANG!” Para lalong pukawin ang damdamin ng mga tao, ipinakita pa ang picture ni Imee na umiiyak. Pero ang picture kuha ay noon pang 1993 at walang kinalaman sa isyu. Hindi totoo ang sinasabi ng video at article, at clickbait lang ang pamagat. Hindi sinampahan ni Bongbong ng kahit anong kaso si Senadora Imee. Sumiklab ang kontrobersiya noong Nov. 17 sa rally ng Iglesia ni Cristo, kung saan kinumpirma ni Imee ang chismis na adik sa cocaine si Bongbong. Ayon kay Imee, nakasama ang adiksiyon ni Bongbong sa pagdedesisyon nito kaya nadagdagan ang korapsyon sa administrasyon. Agad itong pinasinungalingan ng mga opisyal ng pangulo. Noong Nov. 18, sa press briefing ng Presidential Communications Office, sinabi ni Undersecretary Claire Castro na walang plano ang Malacañang na kasuhan si Imee. Ayon kay Usec. Castro, “Let us check first all the facts and the statements that she made. And it’s up to the DOJ, maybe Ombudsman, if they will make any initiative to end this matter.” (Titingnan muna namin lahat ng pinagsasabi niya, at nasa DOJ o Ombudsman na kung may gagawin silang kahit ano para tapusin ang isyu.) Ang video ay ini-upload ng YouTube channel na Boss Balita TV (ginawa noong July 15, 2021) at may lagpas 85,000 views at 4,600 engagements. Ini-repost ito ng Facebook page na Showbiz Whispers (Aug. 1, 2024) at website na newsjer.com.",Fake,fake,"5FACT CHECK: HINDI pinakulong ni Bongbong si ImeeBy VERA Files | Nov 29, 2025",https://verafiles.org/articles/fact-check-hindi-pinakulong-ni-bongbong-si-imee,Vera Files
"After saying that the impeachment complaint against Vice President Sara Duterte is dead, Senate Minority Leader Vicente Sotto III now admits it is “technically” still alive. Nineteen of the 24 senators voted on Aug. 7 to archive the Articles of Impeachment against Duterte pending the Supreme Court’s resolution of the appeals on its ruling that declared the case unconstitutional. Sotto is among the four senators who opposed the motion. In the Aug. 7 podcast episode of Facts First Tonight with Christian Esguerra, Sotto was asked if the impeachment case against Duterte is already dead following the Senate’s decision. He answered: “Technically hindi dahil in-archive mo lang. ‘Yun ang nilinaw ko sa kanila.” (Technically no because you only archived it. That is what I clarified with them.) Source: Christian Esguerra, Tito Sotto schools senator-lawyers in Sara Duterte impeachment debates, Aug. 7, 2025, watch 15:55 to 16:10 In explaining his vote during the Senate plenary session on Aug. 6, Sotto said: “The Supreme Court decision is now pending appeal. It is prudent to wait for the results than prematurely archiving, if not dismissing, because I know for a fact, once it is archived it is dead.“ Source: Senate of the Philippines, Senate Session No. 6 (August 6, 2025), Aug. 6, 2025, watch from 3:54:36 to 3:54:55 Sotto issued the clarification a day after the Senate vote, as some of his fellow legislators, political analysts and legal experts, including retired SC associate justice Adolfo Azcuna, challenged his earlier statement. Azcuna, one of the authors of the 1987 Constitution, told One News on TV5, “It (archiving the impeachment complaint) does not kill the articles. It’s still alive, only set aside.” On July 25, the Supreme Court declared as unconstitutional the Articles of Impeachment against the vice president. It ruled that the case is barred by the one-year rule under the Constitution, which states that “[n]o impeachment proceedings shall be initiated against the same official more than once within a period of one year.” The High Court further said that the decision is “immediately executory,” which prompted the Senate to convene and consequently vote to archive the impeachment case. The SC ruling is, however, not yet final. On Aug. 5, the House of Representatives filed a motion for reconsideration. It later ordered Duterte and Davao-based lawyer Israelito Torreon, who filed a separate petition in February, to comment on the House appeal within a non-extendible period of 10 days. The High Court has yet to receive Duterte’s comment. Check out these sources Christian Esguerra YouTube channel, Tito Sotto schools senator-lawyers in Sara Duterte impeachment debates, Aug. 7, 2025 Senate of the Philippines, Senate Session No. 6 (August 6, 2025), Aug. 6, 2025 News5, ‘GOOD MOVE’, Aug. 8, 2025 Supreme Court of the Philippines, SC: House impeachment complaint vs VP Duterte barred by 1-year rule, due process or fairness applies during all stages of impeachment process, July 25, 2025 Supreme Court of the Philippines, PRESS BRIEFER, Aug. 5, 2025 Supreme Court of the Philippines, G.R. No. 278359, Feb. 18, 2025 Recommended For You News 19 senators vote to save Sara FACT CHECK FACT SHEET: Impeachment in the Philippines through the years FACT CHECK FACT CHECK: House CAN still appeal SC decision declaring VP Sara’s impeachment unconstitutional Christian Esguerra YouTube channel, Tito Sotto schools senator-lawyers in Sara Duterte impeachment debates, Aug. 7, 2025 Senate of the Philippines, Senate Session No. 6 (August 6, 2025), Aug. 6, 2025 News5, ‘GOOD MOVE’, Aug. 8, 2025 Supreme Court of the Philippines, SC: House impeachment complaint vs VP Duterte barred by 1-year rule, due process or fairness applies during all stages of impeachment process, July 25, 2025 Supreme Court of the Philippines, PRESS BRIEFER, Aug. 5, 2025 Supreme Court of the Philippines, G.R. No. 278359, Feb. 18, 2025 News FACT CHECK FACT CHECK",Fake,fake,"FACT CHECK: Sotto flipflops on status of VP Sara’s impeachmentByVERA Files|Aug 9, 2025|3-minute readAfter saying on Aug. 6 that the impeachment complaint against Vice President Sara Duterte is dead once it is archived, Senate Minority Leader Vicente Sotto III now admits the impeachment is ""technically"" still alive after the Senate archived the case.KEEP READING",https://verafiles.org/articles/fact-check-sotto-flipflops-on-status-of-vp-saras-impeachment,Vera Files
"A day after a Philippine Air Force (PAF) helicopter crashed in Bohol, a Facebook (FB) user published on April 28 a false post claiming one of the victims had to wait in an ambulance until Sen. Christopher “Bong” Go arrived. Not true. The erroneous FB post featured two images which bore the caption: “PAF helicopter crash victim in Bohol had to wait for Bong Go because he told them that he would ‘assist’ the victim.” The senator did not cause any delay in transporting the crash victims, said the People’s Television Network in an FB post on April 29, based on a statement from Col. Antonio Francisco, chief of command staff of the PAF’s Air Mobility Command, who was with Go at the time. “Wala naman aniyang naantala sa operasyon (The operation, he said, was not stalled),” the state broadcaster quoted Francisco as saying. The military officer said Go was about to board his plane when he was informed that an ambulance carrying victims of the chopper crash was in the area, so he ran to see them. Go was in Lapu-Lapu City in Cebu province as a guest speaker for the 500th anniversary of the Victory of Mactan. One person died while three were hurt in the helicopter mishap in Bohol which happened during an engineering flight on the morning of April 27. The survivors were taken to Cebu and are reportedly now out of danger. The Office of Sen. Go said the senator has extended assistance to the family of the deceased pilot and to the survivors. Another FB page, R E S I B O, also posted a screenshot of the same false post. Collectively, the two posts obtained over 3,000 shares, 3,700 reactions and 420 comments. (Editor’s Note: VERA Files has partnered with Facebook to fight the spread of disinformation. Find out more about this partnership and our methodology.)",True,true,VERA FILES FACT CHECK: Bohol chopper crash victim WAS NOT told to wait for Bong Go,https://verafiles.org/articles/vera-files-fact-check-bohol-chopper-crash-victim-was-not-tol,Vera Files
"(First of two parts) Sumabog sa popularidad at naglipana online ang mga mis- at disinformation na gawa gamit ang artificial intelligence (AI) ngayong 2024. Sa pagtatapos ng taon, binalikan ng VERA Files ang mga nagawa nitong fact-check. Sa 386 articles na inilabas nito tungkol sa mga online mis- at disinformation mula Enero hanggang Disyembre, 24 sa mga ito ay deepfakes – o mga content na AI-generated o mga original media na minanipula gamit ang AI. Bilang konteksto, simula noong inilunsad ng VERA Files ang fact-checking initiative nito noong 2018, tanging dalawa lamang ang inilabas nitong mga fact-check na may kinalaman sa posibleng AI manipulation bago ang taong ito. Kumpara sa mga nakaraang taon, malaki na ang pinagkaiba ngayon ng disinformation ecosystem. Pero ano nga ba muna ang AI? Paano malalaman kung deepfake ba ang nakita mo o hindi? Panoorin ang video para malaman at mapalalim pa ang iyong pag-unawa rito! Editor's Pick News",Fake,fake,"AI at deepfakes: Bagong taon, bagong mukha… ng disimpormasyon?!ByValerie Nuval and Bryan Manalang|Dec 29, 2024|1-minute readAno nga ba ang AI? Paano malalaman kung deepfake ba ang nakita mo o hindi? Panoorin ang video para malaman at mapalalim pa ang iyong pag-unawa rito.KEEP READING",https://verafiles.org/articles/ai-at-deepfakes-bagong-taon-bagong-mukha-ng-disimpormasyon,Vera Files
